ID,Type,SKU,,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,
,simple,0307,,طقم تشكيل 4ق Family tools,1,0,visible,طقم تشكيل 4ق Family tools,طقم تشكيل 4ق Family tools,taxable,1,0,0,,,,,1,,110,ادوات اكسسوارت - Accessories,#accessories,https://our-arts.com/wp-content/uploads/products/artcastle/accessories/0307.jpg,
,simple,0620,,قصافة اكسسوار,1,0,visible,قصافة اكسسوار,قصافة اكسسوار,taxable,1,0,0,,,,,1,,25,ادوات اكسسوارت - Accessories,#accessories,https://our-arts.com/wp-content/uploads/products/artcastle/accessories/0620.jpg,
,simple,0643,,خرامة جلد يد سيليكون,1,0,visible,خرامة جلد يد سيليكون,خرامة جلد يد سيليكون,taxable,1,0,0,,,,,1,,65,ادوات اكسسوارت - Accessories,#accessories,https://our-arts.com/wp-content/uploads/products/artcastle/accessories/0643.jpg,
,simple,0925,,اشكال جبس صغيرة,1,0,visible,اشكال جبس صغيرة,اشكال جبس صغيرة,taxable,1,0,0,,,,,1,,7,اشكال جبس - Gypsum Forms,#Gypsum-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/gypsum-forms/0925.jpg,
,simple,0926,,اشكال جبس كبيرة,1,0,visible,اشكال جبس كبيرة,اشكال جبس كبيرة,taxable,1,0,0,,,,,1,,10,اشكال جبس - Gypsum Forms,#Gypsum-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/gypsum-forms/0926.jpg,
,simple,0927-1,,اشكال خشبيه للتلوين صغيرة,1,0,visible,اشكال خشبيه للتلوين صغيرة,اشكال خشبيه للتلوين صغيرة,taxable,1,0,0,,,,,1,,15,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0927-1.jpg,
,simple,0927-2,,اشكال خشبيه للتلوين صغيرة,1,0,visible,اشكال خشبيه للتلوين صغيرة,اشكال خشبيه للتلوين صغيرة,taxable,1,0,0,,,,,1,,15,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0927-2.jpg,
,simple,0927-3,,اشكال خشبيه للتلوين صغيرة,1,0,visible,اشكال خشبيه للتلوين صغيرة,اشكال خشبيه للتلوين صغيرة,taxable,1,0,0,,,,,1,,15,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0927-3.jpg,
,simple,0927-4,,اشكال خشبيه للتلوين صغيرة,1,0,visible,اشكال خشبيه للتلوين صغيرة,اشكال خشبيه للتلوين صغيرة,taxable,1,0,0,,,,,1,,15,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0927-4.jpg,
,simple,0927-5,,اشكال خشبيه للتلوين صغيرة,1,0,visible,اشكال خشبيه للتلوين صغيرة,اشكال خشبيه للتلوين صغيرة,taxable,1,0,0,,,,,1,,15,اشكال خشبية للتلوين -Wooden Forms,#Wooden-Forms,https://our-arts.com/wp-content/uploads/products/artcastle/wooden-forms/0927-5.jpg,
